site,type1,type2,type3,notes,location,source
100percentfedup.com,Bias,,,,,OpenSources
16wmpo.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
16wmpo.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
21stcenturywire.com,Conspiracy,,,,,OpenSources
247newsmedia.com,Fake news,,,,"Kumanovo, Macedonia",Politifact
24newsflash.com,Fake news,,,,,OpenSources
24online.news,Imposter site,,,,"Panama, Pa. **",Politifact
24wpn.com,Fake news, ,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
24wpn.com,Fake news,,,,"Veles, Macedonia",Politifact
365usanews.com,Bias,Conspiracy,,,,OpenSources
4threvolutionarywar.wordpress.com,Bias,Conspiracy,,,,OpenSources
70news.wordpress.com,Fake news,,,,,OpenSources
82.221.129.208,Conspiracy,Fake news,, ,,OpenSources
aanirfan.blogspot.co.uk,Unreliable,,,0,,OpenSources
abcnews.com.co,Fake news,,,,,OpenSources
abcnews.com.co,Imposter site,,,,"Phoenix, Ariz.",Politifact
abcnewsgo.co,Fake news,,,,,OpenSources
abeldanger.net,Conspiracy,,,,,OpenSources
abovetopsecret.com,Conspiracy,Rumour,,,,OpenSources
abriluno.com,Satire,Fake news,,,,OpenSources
aceflashman.wordpress.com,Satire,,,,,OpenSources
actforamerica.org/news,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
acting-man.com,Unreliable,Conspiracy,,publishes articles denying climate change,,OpenSources
activistpost.com,Conspiracy,,,,,OpenSources
actualidadpanamericana.com,Parody site,,,,"Scottsdale, Ariz. **",Politifact
actualidadpanamericana.com,Satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
addictinginfo.org,Clickbait,Unreliable,,,,OpenSources
adflegal.org/media,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
adobochronicles.com,Satire,,,,,OpenSources
advocate.com,Political,reliable,,,,OpenSources
aheadoftheherd.com,Bias,,,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals",,OpenSources
ahtribune.com,Unreliable,Bias,,,,OpenSources
alabamaobserver.com,Imposter site,,,,"Toronto, Canada !!!",Politifact
allnewspipeline.com,Unreliable,Conspiracy,,,,OpenSources
alt-market.com,Conspiracy,Bias, ,,,OpenSources
alternativemediasyndicate.com,Fake news,,,http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/,,OpenSources
alternet.org,Political,reliable,,,,OpenSources
americablog.com,Bias,Clickbait,,domain for sale,,OpenSources
americanborderpatrol.com,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
americanflavor.news,Fake news,,,,"Panama, Pa. *",Politifact
americanfreepress.net,Conspiracy,Bias,,,,OpenSources
americankabuki.blogspot.com,Junksci,,,,,OpenSources
americanlookout.com,Bias,Clickbait,,,,OpenSources
americannews.com,Fake news,,,,,OpenSources
americannewsx.com,Political,Bias,Satire,,,OpenSources
americanoverlook.com,Fake news,,,,,OpenSources
americanpatriotdaily.com,Bias,Clickbait,Bias,,,OpenSources
americanpeoplenetwork.com,Fake news,,,,"Veles, Macedonia",Politifact
americanpoliticnews.co,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
americanpoliticnews.co,Fake news,,,,Came up as available for use,Politifact
americanpresident.co,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
americanpresident.co,Fake news,,,,"Tblisi, Georgia",Politifact
americanprogress.org,Political,reliable,,,,OpenSources
americanreviewer.com,Conspiracy,,,,,OpenSources
americanthinker.com,Bias, ,,"sites both reliable/not reliable sources, mix of opinion/'fact'",,OpenSources
americantoday.news,Rumour,Bias,,,,OpenSources
americasfreedomfighters.com,Bias,Clickbait,,,,OpenSources
ammoland.com,Bias,,, ,,OpenSources
amplifyingglass.com,Clickbait,Satire,,,,OpenSources
amposts.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
amposts.com,Fake news,,,,"Chesterbrook, Pa.^",Politifact
amren.com,Hate,Conspiracy,,,,OpenSources
amren.com,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
amtvmedia.com,Rumour,Unreliable,,,,OpenSources
amusmentic.com,Clickbait,Rumour,,,,OpenSources
ancient-code.com,Junksci,Unreliable,,,,OpenSources
anews24.org/,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
anews24.org/,Fake news,,,,"Panama, Pa. *",Politifact
angrypatriotmovement.com,Conspiracy,Fake news,,,,OpenSources
angrypatriotmovement.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
anonews.co,Unreliable,,,,,OpenSources
anonhq.com,Unreliable,,,,,OpenSources
anonjekloy.tk,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
anonjekloy.tk,Fake news,,,,"Amsterdam, Netherlands",Politifact
anonnews.co,Unreliable,,,,,OpenSources
anotherdayintheempire.com,Bias,Conspiracy,,,,OpenSources
antiwar.com,Bias,Unreliable,,site is biased but very open about bias and source,,OpenSources
antoniusaquinas.wp.com,Bias,Conspiracy,,,,OpenSources
aryannationswordwide1488.org,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
asia-pacificresearch.com,Unreliable,Satire,,,,OpenSources
assassinationscience.com,Conspiracy,Junksci,,,,OpenSources
associatedmediacoverage.com,Parody site,,,,"Scottsdale, Ariz. **",Politifact
associatedmediacoverage.com,Satire,,,,,OpenSources
attn.com,Political,Clickbait,,,,OpenSources
aurora-news.us,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
aurora-news.us,Imposter site,,,,"Santiago, Chile",Politifact
automaticearth.com,Unreliable,,,links to MSM sources and Unreliable sources,,OpenSources
automotostar.com,Clickbait,,,,,OpenSources
awarenessact.com,Conspiracy,Junksci,,,,OpenSources
awazetribune.com,Satire,,,,,OpenSources
awdnews.com,Conspiracy,,,twitter account deleted?,,OpenSources
awm.com,Unreliable,Bias,Clickbait,,,OpenSources
baptistnews.com,Political,,,circulates generally reliable information from a p.o.v. but not at the expense of informational integrity ,,OpenSources
barenakedislam.com,Hate,,,,,OpenSources
barnesreview.org,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
bb4sp.com,Conspiracy,Bias,Fake news,,,OpenSources
bb4sp.com,Fake news,,,,"Midwest City, Okla.",Politifact
beehivebugle.com,Satire,,,,,OpenSources
beforeitsnews.com,Fake news,Conspiracy,Rumour,,,OpenSources
beforeitsnews.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
betootaadvocate.com,Satire,,,,,OpenSources
bients.com,Clickbait,,,,,OpenSources
bigamericannews.com,Satire,Fake news,,,,OpenSources
bigbluedimension.com,Rumour,Bias,,,,OpenSources
bigbluevision.com,Hate,,,,,OpenSources
bigbluevision.org,Clickbait,Bias,,,,OpenSources
bighairynews.com,Fake news,Conspiracy,,,,OpenSources
bignuggetnews.com,Bias,Rumour,,,,OpenSources
bipartisanreport.com,Clickbait,Bias,,,,OpenSources
blackagendareport.com,Unreliable,,,anon submissions,,OpenSources
blackgenocide.org,Conspiracy,Bias,Hate,,,OpenSources
blackinsurancenews.com,Some fake stories,,,,"Ridgefield Park, N.J.",Politifact
blackinusrancenews.com,Fake news,Unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
blacklistednews.com,Clickbait,Unreliable,,,,OpenSources
bluenationreview.com,Clickbait,Unreliable,,,,OpenSources
bluevision.news,Fake news,,,,"Panama, Pa. *",Politifact
bluevisionpost.com,Fake news,,,,"Panama, Pa. *",Politifact
boilingfrogspost.com,Unreliable,,,"links to natural news, blacklist news, some Conspiracy sites",,OpenSources
borowitzreport.com,Satire,,,,,OpenSources
bostonleader.com,Fake news,,,,,OpenSources
bostonleader.com,Parody site,,,,"Toronto, Canada !!!",Politifact
bostontribune.com,Parody site,,,,"Scottsdale, Ariz. **",Politifact
bostontribune.com,Satire,Fake news,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
breaking911.com,Clickbait,Unreliable,,,,OpenSources
breakpoint.org,Unreliable,,,,,OpenSources
breitbart.com,Political,Unreliable,Bias,,,OpenSources
brotherjohnf.com,Bias,Conspiracy,,,,OpenSources
bullionbullscanada.com,Conspiracy,,,"The ""one"" bank",,OpenSources
burrardstreetjournal.com,Satire,,,,,OpenSources
buzzfeedusa.com,Fake news,Rumour,,,,OpenSources
buzzfeedusa.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
bvanews.com,Unreliable,Bias,Fake news,seems like a combination of totally fake and Unreliable reports of 'real' news,,OpenSources
callthecops.net,Satire,,,,,OpenSources
canadafreepress.com,Conspiracy,Bias, ,,,OpenSources
cannasos.com,Fake news,Unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
cannasos.com,Some fake stories,,,,"Scottsdale, Ariz. **",Politifact
cap-news.com,Fake news, ,,,,OpenSources
cato.org/blog,Political,reliable,,,,OpenSources
cbsnews.com.co,Fake news,,,,,OpenSources
celebtricity.com,Satire,,,,,OpenSources
centerforsecuritypolicy.org,Bias,Conspiracy,,http://www.bbc.com/news/world-us-canada-35037943 ; ,,OpenSources
centerforsecuritypolicy.org/#articles,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
channel-7-news.com,Fake news,,,,,OpenSources
channel18news.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
channel18news.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
charismanews.com,Bias,,,"minimal factual reporting despite being ""news'",,OpenSources
chaser.com.au,Satire,,,,,OpenSources
checkoutthehealthyworld.com,Junksci,Clickbait,,,,OpenSources
chicksontheright.com,Clickbait,Bias,,,,OpenSources
christianfightback.com,Hate,Bias,,,,OpenSources
christianpost.com,reliable,Political,,,,OpenSources
christiantimesnewspaper.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
christiantimesnewspaper.com,Rumour,Bias,Fake news,https://www.nytimes.com/2017/01/18/us/fake-news-hillary-clinton-cameron-harris.html?_r=1&mtrref=t.co&gwh=1CC9755BA757D7782D8A46A6F6FBF22E&gwt=pay,,OpenSources
christiantoday.info,Fake news,,,,"Scottsdale, Ariz. **",Politifact
christwire.org,Satire,,,,,OpenSources
chronicle.su,Satire, ,,,,OpenSources
chroniclesmagazine.org,Political,,,"from what I gather, like the opposite of Jacobin (paleoconservative) ",,OpenSources
citizensunited.org,Bias,,,loaded language etc.,,OpenSources
city-journal.org,Political,,,,,OpenSources
cityworldnews.com,Fake news,,,,,OpenSources
civictribune.com,Fake news,,,,,OpenSources
civictribune.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
civictribune.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
clashdaily.com,Fake news,Conspiracy,Bias,,,OpenSources
clashdaily.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
clickhole.com,Satire,,,,,OpenSources
cnnews3.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
cnnews3.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
cnnnext.com,Unreliable,,,basically an RT video channel,,OpenSources
cnsnews.com,Unreliable,Bias,,The news arm of Media Research Center (a conservative org that is frequently criticized for use of selective evidence) ,,OpenSources
coasttocoastam.com,Unreliable,,,,,OpenSources
coed.com,Fake news,Unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
coed.com,Some fake stories,,,,"New York, N.Y.",Politifact
collective-evolution.com,Junksci,,,,,OpenSources
collectivelyconscious.net,Junksci,Conspiracy,,,,OpenSources
commentarymagazine.com,Political,,,,,OpenSources
commondreams.org,Political,Clickbait,,,,OpenSources
concisepolitics.com,Conspiracy,Hate,,,,OpenSources
consciouslifenews.com,Junksci, ,,,,OpenSources
conservapedia.com,Bias, , ,,,OpenSources
conservativebyte.com,Fake news,Bias,,,,OpenSources
conservativedailypost.com,Fake news,Unreliable,,This website is a weird mix of outright fake news and some stuff that looks more reliable. ,,OpenSources
conservativedailypost.com,Fake news,,,,"Panama, Pa. *",Politifact
conservativefighters.com,Fake news,,,,,OpenSources
conservativefiringline.com,Bias,Conspiracy,Clickbait,,,OpenSources
conservativeflashnews.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
conservativeflashnews.com,Fake news,,,,"Panama, Pa.*",Politifact
conservativehq.com,Bias,,,http://conservativehq.com/article/24945-f-bomb-opposition-president-trump,,OpenSources
conservativeinfidel.com,Fake news,Conspiracy,,,,OpenSources
conservativeinfocorner.com,Fake news,,,,Came up as available for use,Politifact
conservativeoutfitters.com,Unreliable,Clickbait,,,,OpenSources
conservativepapers.com,Bias,,,"incorrect/uncited data, citing other sources labeled as bias",,OpenSources
conservativerefocus.com,Conspiracy,,,,,OpenSources
conservativereview.com,Political,,,,,OpenSources
conservativespirit.com,Bias,Fake news,,,,OpenSources
conservativespirit.com,Fake news,,,,"Chesterbrook, Pa.^",Politifact
conservativestate.com,Bias,,,"links to other borderline fake, but mostly just propagandistic websites",,OpenSources
conservativetribune.com,Bias,Conspiracy,Unreliable,,,OpenSources
consortiumnews.com,reliable,,,The authors on this website are pretty reliable and the articles appear well researched,,OpenSources
conspiracyplanet.com,Conspiracy,,,,,OpenSources
conspiracywire.com,Conspiracy,,,,,OpenSources
corbettreport.com,Conspiracy,Bias,,,,OpenSources
corbettreport.com,Conspiracy,,,,,OpenSources
countdowntozerotime.com,Conspiracy, ,,,,OpenSources
countercurrentnews.com,Bias,,,,,OpenSources
countercurrents.org,Political,Unreliable,,This site is pretty explicit about it's p.o.v. and is coming from a Political perspective but doesn't fit under how we are defining 'bias',,OpenSources
counterinformation.wordpress.com,Political,,,,,OpenSources
counterjihad.com,Bias,,,,,OpenSources
counterpsyops.com,Conspiracy,,,,,OpenSources
counterpunch.com,Political,,,explicit POV - legit authors,,OpenSources
counterpunch.org,Political,,,explicit POV - legit authors,,OpenSources
cowgernation.com,Bias,Conspiracy,,,,OpenSources
creambmp.com,Satire,Fake news,,,,OpenSources
creativitymovement.net/category/news/,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
cryptogon.com,Conspiracy,Unreliable,,copy-pasted commentary from various news & 'news' sources,,OpenSources
crystalair.com,Satire,,,redirects to http://www.cap-news.com/,,OpenSources
dailybuzzlive.com,Fake news,,,,,OpenSources
dailycaller.com,Political,Clickbait,Bias,a weird mix of info. they link to extremely biased sites (as sources) and more reliable/balanced sources,,OpenSources
dailycurrant.com,Satire,,,,,OpenSources
dailydiscord.com,Satire,,,,,OpenSources
dailyheadlines.com,Fake news, ,,,,OpenSources
dailyheadlines.net,Fake news, ,,,,OpenSources
dailyinfobox.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
dailyinfobox.com,Fake news,,,,"Panama, Pa.*",Politifact
dailyken.com,Hate,,,,,OpenSources
dailykos.com,Political,Clickbait, ,,,OpenSources
dailyleak.org,Satire,Fake news,,,,OpenSources
dailynews10.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
dailynews10.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
dailynews5.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
dailynews5.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
dailynewsbin.com,Bias,Clickbait,,,,OpenSources
dailynewsposts.info,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
dailynewsposts.info,Fake news,,,,"Chesterbrook, Pa ^",Politifact
dailyoccupation.com,Conspiracy,Bias,,,,OpenSources
dailypoliticsusa.com,Bias,,,,,OpenSources
dailysignal.com,Bias,,,,,OpenSources
dailysnark.com,Parody site,,,,"Scottsdale, Ariz. **",Politifact
dailysnark.com,Satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
dailysquib.co.uk,Satire,,,,,OpenSources
dailystormer.com,Hate,Conspiracy,Bias,pretty well known neo-nazi site,,OpenSources
dailysurge.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
dailysurge.com,Fake news,,,,"Alexandria, Va.",Politifact
dailytelegraph.com.au,Bias,Rumour,,australian tabloid mag,,OpenSources
dailyusaupdate.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
dailyusaupdate.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
dailywire.com,Bias,,,,,OpenSources
damnleaks.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
damnleaks.com,Fake news,,,,"Colorado Springs, Colo. ",Politifact
dandygoat.com,Satire,,,,,OpenSources
darkmoon.me,Hate,Bias,,,,OpenSources
darkpolitricks.com,Bias,Conspiracy,,,,OpenSources
dataasylum.com,Conspiracy,Junksci,,,,OpenSources
davejanda.com,Unreliable,,,,,OpenSources
davidduke.com,Hate,,,,,OpenSources
davidstockmanscontracorner.com,Political,,,,,OpenSources
davidwolfe.com,Conspiracy,,,,,OpenSources
dcclothesline.com,Conspiracy,Junksci,,,,OpenSources
dcgazette.com,Fake news,,,,,OpenSources
dcleaks.com,Unreliable,,,,,OpenSources
ddemocraticunderground.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
deadlinelive.info,Political,Conspiracy,,,,OpenSources
deadlyclear.wordpress.com,Bias,fake news,,"Not a personal website, owned by Project Maui, Inc. Makes unverifiable extraordinary claims, seems to be advertising for lawyers with a history of legal reprimands.",,OpenSources
debunkingskeptics.com,Bias,Conspiracy,,Science doesn't mean what they think it means,,OpenSources
defenddemocracy.press,Bias,Political,,"editorial board as Stated on about us seem to be legitimate academics, and originally authored content byline are academics, although not able to find a clear link between edu pages and these authors' work on this website. Many 3rd party articles are linked, sources provided. These articles are aggregated from other more clearly biased sites i.e. world socialist web site (wswg.org), rt.com, sputniknews.com.",,OpenSources
democraticmoms.com,Fake news,,,,"Panama, Pa. *",Politifact
dennismichaellynch.com,Political,,,,,OpenSources
denverguardian.com,Fake news,,,,,OpenSources
denverinquirer.com,Imposter site,,,,"Toronto, Canada !!!",Politifact
departed.co,Fake news,,,redirects to dcposts.com ,,OpenSources
departedmedia.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
departedmedia.com,Fake news,,,,"Chesterbrook, Pa.^",Politifact
der-postillon.com,Satire,,,German language site,,OpenSources
derfmagazine.com,Satire,,,,,OpenSources
dineal.com,Junksci,,,,,OpenSources
disclose.tv,Fake news,,,,"Passau, Germany",Politifact
disclose.tv,Satire,Conspiracy,,,,OpenSources
disclosuremedia.net,Conspiracy,,,,,OpenSources
dissentmagazine.org,Political,,,,,OpenSources
diversitychronicle.wordpress.com,Satire,,,self-labled: https://diversitychronicle.wordpress.com/disclaimer/ ,,OpenSources
diyhours.net,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
diyhours.net,Fake news,,,,"Panama, Pa.*",Politifact
dollarvigilante.com,Bias,,,anarcho-capitalist Blog,,OpenSources
donaldtrumpnews.co,Fake news,,,,,OpenSources
donaldtrumppotus45.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
donaldtrumppotus45.com,Fake news,,,,"Free Union, Va.",Politifact
dont-tread-on.me,Conspiracy,,,doesn't seem to be updating anymore,,OpenSources
downtrend.com,Fake news,Satire,,,,OpenSources
drrichswier.com,Hate,Bias,,,,OpenSources
drudgereport.com,Political,Bias,,,,OpenSources
drudgereport.com.co,Fake news,,,,,OpenSources
duffleblog.com,Satire,,,,,OpenSources
duhprogressive.com,Satire,,,,,OpenSources
dutchsinse.com,Conspiracy,,,weather control,,OpenSources
eaglerising.com,Bias,Clickbait,,,,OpenSources
ebolahoax.com,Conspiracy,,,domain for sale,,OpenSources
economicnoise.com,Political,Unreliable,,"sites some problematic sources, like CNS news",,OpenSources
ecowatch.com,Political,,,"this site claims Junksci, but I read over a dozen articles w/o finding any. probably should re-check soon https://mediabiasfactcheck.com/ecowatch/",,OpenSources
educate-yourself.org,Conspiracy,Junksci,,,,OpenSources
educateinspirechange.org/health,Clickbait,Junksci,,,,OpenSources
electionnightgatekeepers.com,Conspiracy,Unreliable,,,,OpenSources
elelephantintheroom.blogspot.com,Bias,,,,,OpenSources
elitereaders.com,Clickbait,,,,,OpenSources
elkoshary.com,Satire,,,About Me notes that it's not fake/Satire news,,OpenSources
elmundotoday.com,Satire,,,About Me notes that it's not fake/Satire news,,OpenSources
embols.com,Fake news,,,,,OpenSources
empirehearland.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
empireherald.com,Fake news,Satire,,,,OpenSources
empireherald.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
empirenews.net,Fake news,Satire,,,,OpenSources
empirenews.net,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
empirenews.net,Parody site,,,,"Chesterbrook, Pa ^",Politifact
empiresports.co,Parody site,,,,"Sellersburg, IN",Politifact
empiresports.co,Satire,,,About Me notes that it's not fake/Satire news,,OpenSources
empiresports.co,Satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
emptywheel.net,Political,,,commentary on current events/news,,OpenSources
en-volve.com,Fake news,,,,"Chesterbrook, Pa. ^",Politifact
en-vovle.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
enabon.com,Fake news,,,"No authors, no contact, just copy/pasted from other questionable sites",,OpenSources
endingthefed.com,Bias, ,,,,OpenSources
endoftheamericandream.com,Conspiracy,Fake news,Political,Traffics in religious Conspiracy theories and poorly sourced pro-Trump propaganda,,OpenSources
endtime.com,Bias,Clickbait,Political,Not sure about this one. zany religious prophecy/not really Conspiracy,,OpenSources
enduringvision.com,Fake news,,,,,OpenSources
enhlive.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
enhlive.com,Fake news,,,,"Brea, Calif. !!",Politifact
eutimes.net,Hate,Conspiracy,,,,OpenSources
eutopia.buzz,Fake news,Satire,Conspiracy,,,OpenSources
ewao.com,Junksci,,,,,OpenSources
experimentalvaccines.org,Junksci,Conspiracy,,,,OpenSources
expose1933.com,Conspiracy,Hate,,"references to ""white genocide"" and ""race mixing""",,OpenSources
express.co.uk,Rumour,,,well-known tabloid,,OpenSources
extraclubmagazine.com,Bias,Clickbait,Fake news,vacillates between outright fake and misleading stories,,OpenSources
eyeopening.info,Conspiracy,Junksci,,,,OpenSources
fakingnews.com,Fake news,Satire,,fiction disclaimer on bottom of home screen ,,OpenSources
familysecuritymatters.org,Conspiracy,Bias,,,,OpenSources
